sepal_length,sepal_width,petal_length,petal_width,species_pred,prob
5.5,2.5,4.0,1.3,versicolor,0.9695541989397419
6.9,3.1,5.1,2.3,virginica,0.9682108731887045
5.1,2.5,3.0,1.1,versicolor,0.9553676651838151
4.4,2.9,,0.2,setosa,0.6478868904326914
5.9,3.0,5.1,1.8,virginica,0.7745838538515029
5.5,3.5,1.3,0.2,setosa,0.9606992874288192
5.6,,3.6,1.3,versicolor,0.9438539903002163
6.5,3.0,5.2,2.0,virginica,0.9586655426400562
5.3,3.7,1.5,0.2,setosa,0.9672436704622073
5.1,3.4,1.5,,setosa,0.8213003619652892
6.1,2.8,4.0,1.3,versicolor,0.9816988763684504
5.5,2.4,3.7,1.0,versicolor,0.9810686751034623
7.7,3.0,6.1,2.3,virginica,0.9536197848375403
6.9,3.1,4.9,1.5,versicolor,0.7256386586457318
6.0,2.2,5.0,1.5,versicolor,0.5111072630399549
